Deserialize time: 0.1748s, Aggregation+Serialization time: 0.2019s 
Deserialize time: 0.1344s, Aggregation+Serialization time: 0.1743s 
Deserialize time: 0.1308s, Aggregation+Serialization time: 0.1677s 
Deserialize time: 0.1496s, Aggregation+Serialization time: 0.1495s 
Deserialize time: 0.1351s, Aggregation+Serialization time: 0.1776s 
Deserialize time: 0.1777s, Aggregation+Serialization time: 0.1849s 
Deserialize time: 0.1201s, Aggregation+Serialization time: 0.1666s 
Deserialize time: 0.1392s, Aggregation+Serialization time: 0.1587s 
Deserialize time: 0.1230s, Aggregation+Serialization time: 0.1643s 
Deserialize time: 0.3007s, Aggregation+Serialization time: 0.2673s 
Deserialize time: 0.2051s, Aggregation+Serialization time: 0.2503s 
Deserialize time: 0.2432s, Aggregation+Serialization time: 0.2480s 
Deserialize time: 0.1402s, Aggregation+Serialization time: 0.1831s 
Deserialize time: 0.1315s, Aggregation+Serialization time: 0.1743s 
Deserialize time: 0.1341s, Aggregation+Serialization time: 0.1975s 
Deserialize time: 0.1489s, Aggregation+Serialization time: 0.1749s 
Deserialize time: 0.1443s, Aggregation+Serialization time: 0.1681s 
Deserialize time: 0.1533s, Aggregation+Serialization time: 0.1785s 
Deserialize time: 0.1258s, Aggregation+Serialization time: 0.1742s 
Deserialize time: 0.1647s, Aggregation+Serialization time: 0.1491s 
Deserialize time: 0.1358s, Aggregation+Serialization time: 0.1702s 
Deserialize time: 0.1888s, Aggregation+Serialization time: 0.2584s 
Deserialize time: 0.1894s, Aggregation+Serialization time: 0.2444s 
Deserialize time: 0.1876s, Aggregation+Serialization time: 0.2086s 
Deserialize time: 0.2080s, Aggregation+Serialization time: 0.2361s 
Deserialize time: 0.2050s, Aggregation+Serialization time: 0.2172s 
Deserialize time: 0.1826s, Aggregation+Serialization time: 0.2599s 
Deserialize time: 0.1760s, Aggregation+Serialization time: 0.1902s 
Deserialize time: 0.1560s, Aggregation+Serialization time: 0.1856s 
Deserialize time: 0.1563s, Aggregation+Serialization time: 0.1758s 
Deserialize time: 0.1212s, Aggregation+Serialization time: 0.1806s 
Deserialize time: 0.1276s, Aggregation+Serialization time: 0.1643s 
